# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
5.108300000000000063e-01,2.695697480719104542e-04,3.168243766642807671e-03
5.183275000000000521e-01,2.774956515055256338e-04,3.214166513660822282e-03
5.258249999999999869e-01,2.855344176194229240e-04,3.260064394341557256e-03
5.333225000000000326e-01,2.936859351962019097e-04,3.305937076925541569e-03
5.408199999999999674e-01,3.019500915921736182e-04,3.351784230811398653e-03
5.483175000000000132e-01,3.103267727446892377e-04,3.397605526569081463e-03
5.558149999999999480e-01,3.188158631796659983e-04,3.443400635953244165e-03
5.633124999999999938e-01,3.274172460190426345e-04,3.489169231916095567e-03
5.708100000000000396e-01,3.361308029885139203e-04,3.534910988620627685e-03
5.783074999999999743e-01,3.449564144252287756e-04,3.580625581453128307e-03
5.858050000000000201e-01,3.538939592856404329e-04,3.626312687036119860e-03
5.933024999999999549e-01,3.629433151533789366e-04,3.671971983240748371e-03
6.008000000000000007e-01,3.721043582473125663e-04,3.717603149199240516e-03
6.082975000000000465e-01,3.813769634296299677e-04,3.763205865317181559e-03
6.157949999999999813e-01,3.907610042140299985e-04,3.808779813285569516e-03
6.232925000000000271e-01,4.002563527740273680e-04,3.854324676092933926e-03
6.307899999999999618e-01,4.098628799512370798e-04,3.899840138036951131e-03
6.382875000000000076e-01,4.195804552640027842e-04,3.945325884736379171e-03
6.457850000000000534e-01,4.294089469157993987e-04,3.990781603142500890e-03
6.532824999999999882e-01,4.393482218039453232e-04,4.036206981550436064e-03
